,aic,waic,samples,warmup
0,-392.563540785591,-107.69922984351695,47.0,500
1,-393.97524626280045,-92.84735777478937,94.0,500
2,-393.31023984809565,-112.4181025923416,142.0,500
3,-393.34494026802537,-128.0746802855964,189.0,500
4,-393.6457095260793,-119.34788184721094,237.0,500
5,-393.3180060649226,-149.43066083851994,284.0,500
6,-393.3452727961732,-133.53078832879794,332.0,500
7,-393.2211414699237,-136.76808460011807,379.0,500
8,-393.2428858103083,-132.24617485011765,427.0,500
9,-393.31930251006116,-136.07885566920822,474.0,500
10,-393.41176104843703,-119.49108593385881,522.0,500
11,-393.3339117388498,-120.11049553229577,569.0,500
12,-393.4342029277218,-120.60062195753369,617.0,500
13,-393.5329525712061,-118.73711758675387,664.0,500
14,-393.4618560511798,-118.25309685039167,712.0,500
15,-393.5042593958489,-109.03885478622277,759.0,500
16,-393.40232492841545,-112.92563786507941,807.0,500
17,-393.4888526264165,-109.34104024834573,854.0,500
18,-393.5079830256793,-108.5632922080523,902.0,500
19,-393.6852468263264,-101.00304833699937,949.0,500
20,-393.5081193737427,-96.53900878333792,997.0,500
21,-393.49812833906475,-92.06892176183277,1044.0,500
22,-393.4632425004876,-88.88414883578167,1092.0,500
23,-393.4522795111427,-89.42634881367053,1139.0,500
24,-393.60071979778627,-84.64357509517879,1187.0,500
25,-393.6853932780476,-87.79872325662132,1234.0,500
26,-393.74853418883976,-81.91632572982252,1282.0,500
27,-393.7612054633441,-84.97769797905067,1329.0,500
28,-393.69840258600294,-91.25125363521306,1377.0,500
29,-393.710456622077,-90.05009777268401,1424.0,500
30,-393.70115318326566,-84.28362513548734,1472.0,500
31,-393.7393534945155,-83.41894291059754,1519.0,500
32,-393.80916199554764,-79.94168522732116,1567.0,500
33,-393.84355387348506,-75.35208607017296,1614.0,500
34,-393.8265986874503,-74.66637266059848,1662.0,500
35,-393.8382031986965,-74.97837208648895,1709.0,500
36,-394.14807891088753,-62.422037373862,1757.0,500
37,-394.21078695469333,-54.88478525436847,1804.0,500
38,-394.2419474268768,-49.91748073900101,1852.0,500
39,-394.2138699029821,-52.92955882308718,1899.0,500
40,-394.1363818616624,-55.58153569709009,1947.0,500
41,-394.1208797853243,-54.432053616245696,1994.0,500
42,-394.1371288157485,-52.62033315618305,2042.0,500
43,-394.1369480855154,-47.27012741325382,2089.0,500
44,-394.1421039867243,-46.15957823049507,2137.0,500
45,-394.16025547480433,-46.064153054401686,2184.0,500
46,-394.1598442848484,-45.36615777465403,2232.0,500
47,-394.1485590546005,-44.856222522107146,2279.0,500
48,-394.15015010452277,-44.03956421798745,2327.0,500
49,-394.153953398343,-43.4545822881949,2374.0,500
50,-394.095663282802,-42.80968910570948,2422.0,500
51,-394.05024436091327,-44.459905005481005,2469.0,500
52,-394.06611990881555,-46.1385465470824,2517.0,500
53,-394.05784784069726,-40.852521022735914,2564.0,500
54,-394.03793824418335,-44.0683080842328,2612.0,500
55,-394.01832703353335,-45.0260589372304,2659.0,500
56,-394.00272733297385,-44.93349740088661,2707.0,500
57,-394.00745096729867,-38.47617931107533,2754.0,500
58,-393.97929232280217,-36.97849754977892,2802.0,500
59,-393.97473558020295,-39.08754298245657,2849.0,500
60,-393.99321949583765,-39.714455087575686,2897.0,500
61,-394.00802165419344,-40.050264539920306,2944.0,500
62,-394.0209898905613,-42.2420730621011,2992.0,500
63,-394.03387763317903,-44.267743880099374,3039.0,500
64,-394.0551416101489,-41.49088794357294,3087.0,500
65,-394.0495430024956,-41.54961403757977,3134.0,500
66,-394.0266710190672,-42.75650891766003,3182.0,500
67,-394.03874373065537,-43.60292575335802,3229.0,500
68,-394.0157449476429,-41.245667857015064,3277.0,500
69,-394.00141459664735,-42.43827314596223,3324.0,500
70,-394.00139683815576,-40.75624684467107,3372.0,500
71,-393.9874400531059,-42.930326715379636,3419.0,500
72,-393.9646221075598,-44.641670247864624,3467.0,500
73,-393.9467397560845,-46.57116083995601,3514.0,500
74,-393.9476923642527,-46.99824860406483,3562.0,500
75,-393.9613581757795,-43.69937192582171,3609.0,500
76,-393.93895201666464,-45.12625343272401,3657.0,500
77,-393.9270485663552,-46.07347502238781,3704.0,500
78,-393.93166227190557,-46.98969107241919,3752.0,500
79,-393.9628519289462,-45.08796396120971,3799.0,500
80,-393.9565355495751,-44.96418322972778,3847.0,500
81,-393.934039105016,-44.86556809194519,3894.0,500
82,-393.9033311273623,-46.92549434934665,3942.0,500
83,-393.88281899538435,-46.518778572835515,3989.0,500
84,-393.88247101312083,-45.931894362745425,4037.0,500
85,-393.89143559097243,-45.00928937853752,4084.0,500
86,-393.88209432176177,-44.53290309582769,4132.0,500
87,-393.91005545562973,-43.465886611018504,4179.0,500
88,-393.89735896806224,-43.71477136170745,4227.0,500
89,-393.89909148459407,-44.069608467965736,4274.0,500
90,-393.9184764312524,-43.215540764832156,4322.0,500
91,-393.9465516938485,-40.89862844462198,4369.0,500
92,-393.96744132413056,-41.791377726953385,4417.0,500
93,-393.9677993217717,-42.53705675881912,4464.0,500
94,-393.9535935221887,-41.09824155785259,4512.0,500
95,-393.9699149830728,-40.18120756932086,4559.0,500
96,-393.9716196154475,-41.16854250009516,4607.0,500
97,-393.96626608964266,-40.72307265725419,4654.0,500
98,-393.97143988457003,-42.05619426627436,4702.0,500
99,-393.9700863309362,-42.65340314702195,4749.0,500
100,-393.9819584884082,-42.71621353717529,4797.0,500
101,-393.9941485002698,-41.84469868117503,4844.0,500
102,-393.99362801902157,-42.19173236171048,4892.0,500
103,-393.9904924323504,-42.96257743722259,4939.0,500
104,-393.99775334994865,-41.734823704139785,4987.0,500
105,-393.9831095999151,-42.85865343316186,5034.0,500
106,-393.97225597736457,-43.31572060097352,5082.0,500
107,-393.97172591187865,-41.15245471944053,5129.0,500
108,-393.9923197165292,-40.51619653370102,5177.0,500
109,-393.9942594644455,-38.849571433248,5224.0,500
110,-393.98899546855824,-37.35288908239653,5272.0,500
111,-393.9902963073392,-36.548544335225074,5319.0,500
112,-393.9981439733497,-36.15344577073745,5367.0,500
113,-393.99809364678134,-37.10992769793137,5414.0,500
114,-394.0036852109163,-38.90916452842299,5462.0,500
115,-394.01711744069263,-38.62010122175394,5509.0,500
116,-394.0116882243195,-37.84261221833998,5557.0,500
117,-394.0317761025922,-37.5530970238417,5604.0,500
118,-394.0336102449289,-37.81701946938159,5652.0,500
119,-394.01764458152456,-39.096410957519026,5699.0,500
120,-394.0137472306236,-38.35741539540294,5747.0,500
121,-394.01003180528824,-38.85978338547409,5794.0,500
122,-394.0047625353592,-39.86199942897974,5842.0,500
123,-394.00296463696486,-40.021946108340615,5889.0,500
124,-394.002862271415,-40.95708197115556,5937.0,500
125,-394.01455998011056,-40.57748249827472,5984.0,500
126,-394.03473925938056,-41.79852633846315,6032.0,500
127,-394.03834470144875,-42.32689319248129,6079.0,500
128,-394.0639232194694,-41.25614705087929,6127.0,500
129,-394.0557254040803,-41.83430459891923,6174.0,500
130,-394.04270142803693,-41.503959575465046,6222.0,500
131,-394.0515262027195,-42.02662823793537,6269.0,500
132,-394.0601374659385,-41.64914648531641,6317.0,500
133,-394.0588638641872,-41.92118880833942,6364.0,500
134,-394.0780076574311,-40.386584401106916,6412.0,500
135,-394.0716434317926,-41.17217331129518,6459.0,500
136,-394.07716851672853,-41.33355493073168,6507.0,500
137,-394.0941766406836,-41.026338340367374,6554.0,500
138,-394.0848666967004,-41.648014692303775,6602.0,500
139,-394.07873859802726,-41.80266434854292,6649.0,500
140,-394.056556820446,-42.47476622988523,6697.0,500
141,-394.0516959038968,-42.044223627904785,6744.0,500
142,-394.04464296837455,-41.99301141090018,6792.0,500
143,-394.03481277455455,-41.293452864088465,6839.0,500
144,-394.03843124062735,-41.893192120483036,6887.0,500
145,-394.0244427258429,-42.43775428594097,6934.0,500
146,-394.0267611666503,-42.9035237174204,6982.0,500
147,-394.0183664647534,-43.48913681145649,7029.0,500
148,-394.0051901996213,-44.61135664880703,7077.0,500
149,-394.0055293547043,-44.80757332962423,7124.0,500
150,-393.9949108640697,-45.80206053469038,7172.0,500
151,-393.99565135383506,-46.41609372596673,7219.0,500
152,-394.00576166839244,-46.36544302416456,7267.0,500
153,-393.99183529358817,-46.865612927033,7314.0,500
154,-393.9915723194894,-46.767779186939435,7362.0,500
155,-393.9973755416596,-46.57265182634245,7409.0,500
156,-393.98923997797283,-45.82439123761776,7457.0,500
157,-393.99050424815806,-46.566488689762025,7504.0,500
158,-393.9934452170796,-46.48515920349769,7552.0,500
159,-394.00469784112465,-45.84951254972168,7599.0,500
160,-394.0045054579109,-45.92944863206759,7647.0,500
161,-394.0128048522845,-43.86170908629293,7694.0,500
162,-393.9991123959304,-43.81809114109558,7742.0,500
163,-393.9910869087379,-44.06971852058575,7789.0,500
164,-393.9906613077925,-43.95783082370667,7837.0,500
165,-393.9911359210438,-44.83740136035374,7884.0,500
166,-393.99474458880354,-45.11644027347097,7932.0,500
167,-393.99515543972586,-45.74160494020583,7979.0,500
168,-393.99685245795035,-46.11647188039359,8027.0,500
169,-393.99874764651116,-45.89535481536194,8074.0,500
170,-394.00314576172514,-45.724464403253194,8122.0,500
171,-394.00447198271115,-45.56979180386281,8169.0,500
172,-394.0028036986282,-46.29555609966218,8217.0,500
173,-394.00733401462446,-46.110163815226144,8264.0,500
174,-394.0108832316163,-46.02041935057167,8312.0,500
175,-394.0158408009432,-46.551401929567135,8359.0,500
176,-394.0237924370184,-47.19369039825608,8407.0,500
177,-394.0241415751208,-47.59738558872925,8454.0,500
178,-394.02227789600454,-47.96600435655239,8502.0,500
179,-394.03206710944255,-48.37426625055258,8549.0,500
180,-394.0342582301842,-47.76315848768314,8597.0,500
181,-394.03773872598777,-47.59864675025699,8644.0,500
182,-394.0465101683107,-47.926729020618666,8692.0,500
183,-394.04119120487474,-48.35328749555623,8739.0,500
184,-394.0419086875932,-49.082662845723746,8787.0,500
185,-394.0418886180306,-50.00060249467617,8834.0,500
186,-394.048448655141,-49.75333943300069,8882.0,500
187,-394.0454458579062,-48.97190970517465,8929.0,500
188,-394.04217748125274,-48.96350409260418,8977.0,500
189,-394.03416349963004,-49.30050283603509,9024.0,500
190,-394.04573636948226,-47.79350672120029,9072.0,500
191,-394.0462944488309,-46.863836421329324,9119.0,500
192,-394.0385171992574,-47.548886922777854,9167.0,500
193,-394.0350576499815,-47.59607928394195,9214.0,500
194,-394.0304474235154,-47.79195871007073,9262.0,500
195,-394.0247080653707,-48.6982302917865,9309.0,500
196,-394.0181262242372,-47.46368652272383,9357.0,500
197,-394.01465482339376,-47.29095666138164,9404.0,500
198,-394.0097450605517,-47.44319000940612,9452.0,500
199,-394.01065970782076,-47.44826941883031,9500.0,500
